,time,open,high,low,close,tick_volume,spread,real_volume
107,2021-10-22 09:02:00,1.16257,1.1626400000000001,1.1625,1.16255,165,0,0
108,2021-10-22 09:03:00,1.16253,1.16257,1.16246,1.16247,56,0,0
109,2021-10-22 09:04:00,1.16247,1.1626,1.16247,1.16259,43,0,0
110,2021-10-22 09:05:00,1.16257,1.16269,1.16257,1.1626400000000001,57,0,0
111,2021-10-22 09:06:00,1.1626400000000001,1.1626400000000001,1.16246,1.16247,51,0,0
112,2021-10-22 09:07:00,1.16247,1.16258,1.16246,1.1625,55,0,0
113,2021-10-22 09:08:00,1.1625,1.16252,1.16238,1.16241,59,0,0
114,2021-10-22 09:09:00,1.16241,1.16259,1.16241,1.16253,57,0,0
115,2021-10-22 09:10:00,1.16254,1.1626,1.16249,1.16254,74,0,0
116,2021-10-22 09:11:00,1.16254,1.16266,1.1625,1.16257,63,0,0
117,2021-10-22 09:12:00,1.16257,1.16259,1.1625,1.16254,97,0,0
118,2021-10-22 09:13:00,1.16254,1.16263,1.16254,1.16259,63,0,0
119,2021-10-22 09:14:00,1.16259,1.16263,1.16248,1.16259,83,0,0
120,2021-10-22 09:15:00,1.16261,1.16265,1.16248,1.16249,59,0,0
121,2021-10-22 09:16:00,1.16249,1.16252,1.1623999999999999,1.16252,39,0,0
122,2021-10-22 09:17:00,1.16251,1.16252,1.16244,1.16244,23,0,0
123,2021-10-22 09:18:00,1.16244,1.16252,1.1623999999999999,1.16251,44,0,0
124,2021-10-22 09:19:00,1.16252,1.16254,1.16248,1.16253,23,0,0
125,2021-10-22 09:20:00,1.16253,1.16253,1.16238,1.16239,49,0,0
126,2021-10-22 09:21:00,1.16239,1.16243,1.16234,1.16239,50,0,0
127,2021-10-22 09:22:00,1.16239,1.16244,1.16236,1.16243,42,0,0
128,2021-10-22 09:23:00,1.16243,1.16279,1.16239,1.16277,84,0,0
129,2021-10-22 09:24:00,1.16277,1.163,1.16275,1.16297,70,0,0
130,2021-10-22 09:25:00,1.16297,1.16329,1.16296,1.16329,124,0,0
131,2021-10-22 09:26:00,1.16328,1.16356,1.16328,1.16349,124,0,0
132,2021-10-22 09:27:00,1.16349,1.16352,1.16333,1.16343,100,0,0
133,2021-10-22 09:28:00,1.16344,1.16344,1.16332,1.16336,62,0,0
134,2021-10-22 09:29:00,1.16336,1.16336,1.16322,1.16323,40,0,0
135,2021-10-22 09:30:00,1.16322,1.1633,1.1631,1.16329,71,0,0
136,2021-10-22 09:31:00,1.1633,1.16338,1.16324,1.1633499999999999,81,0,0
137,2021-10-22 09:32:00,1.1633499999999999,1.16336,1.16324,1.16333,86,0,0
138,2021-10-22 09:33:00,1.16333,1.16334,1.16319,1.16327,73,0,0
139,2021-10-22 09:34:00,1.16327,1.16334,1.16323,1.16327,54,0,0
140,2021-10-22 09:35:00,1.16329,1.16333,1.16326,1.1633,37,0,0
141,2021-10-22 09:36:00,1.16329,1.16329,1.16322,1.1632500000000001,53,0,0
142,2021-10-22 09:37:00,1.1632500000000001,1.16331,1.1632500000000001,1.16327,27,0,0
143,2021-10-22 09:38:00,1.16327,1.16337,1.16327,1.16333,69,0,0
144,2021-10-22 09:39:00,1.16333,1.16346,1.16329,1.16346,50,0,0
145,2021-10-22 09:40:00,1.16346,1.16348,1.1634,1.1634,45,0,0
146,2021-10-22 09:41:00,1.16341,1.16344,1.1633499999999999,1.1633499999999999,43,0,0
147,2021-10-22 09:42:00,1.1633499999999999,1.16339,1.16334,1.1633499999999999,33,0,0
148,2021-10-22 09:43:00,1.16336,1.16339,1.16324,1.1633499999999999,39,0,0
149,2021-10-22 09:44:00,1.16336,1.16343,1.1633499999999999,1.1634,57,0,0
150,2021-10-22 09:45:00,1.1634,1.16352,1.1633499999999999,1.16351,102,0,0
151,2021-10-22 09:46:00,1.1635,1.16357,1.16346,1.16353,66,0,0
152,2021-10-22 09:47:00,1.16353,1.16358,1.16349,1.16352,56,0,0
